% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.72	1	2	73	1	1	28	1095	0
0.72	1	1	73	1	2	28	1095	0
0.721	1	2	73	2	1	28	1095	0
0.721	1	1	73	2	2	28	1095	0
0.722	1	2	73	3	1	28	1095	0
0.722	1	1	73	3	2	28	1095	0
0.723	1	2	73	4	1	28	1095	0
0.723	1	1	73	4	2	28	1095	0
0.724	1	2	73	5	1	28	1095	0
0.724	1	1	73	5	2	28	1095	0
0.725	1	2	73	6	1	28	1095	0
0.725	1	1	73	6	2	28	1095	0
0.726	1	2	73	7	1	28	1095	0
0.726	1	1	73	7	2	28	1095	0
0.727	1	2	73	8	1	28	1095	0
0.727	1	1	73	8	2	28	1095	0
0.728	1	2	73	9	1	28	1095	0
0.728	1	1	73	9	2	28	1095	0
0.729	1	2	73	10	1	28	1095	0
0.729	1	1	73	10	2	28	1095	0
0.73	1	2	74	1	1	28	1095	0
0.73	1	1	74	1	2	28	1095	0
0.731	1	2	74	2	1	28	1095	0
0.731	1	1	74	2	2	28	1095	0
0.732	1	2	74	3	1	28	1095	0
0.732	1	1	74	3	2	28	1095	0
0.733	1	2	74	4	1	28	1095	0
0.733	1	1	74	4	2	28	1095	0
0.734	1	2	74	5	1	28	1095	0
0.734	1	1	74	5	2	28	1095	0
0.735	1	2	74	6	1	28	1095	0
0.735	1	1	74	6	2	28	1095	0
0.736	1	2	74	7	1	28	1095	0
0.736	1	1	74	7	2	28	1095	0
0.737	1	2	74	8	1	28	1095	0
0.737	1	1	74	8	2	28	1095	0
0.738	1	2	74	9	1	28	1095	0
0.738	1	1	74	9	2	28	1095	0
0.739	1	2	74	10	1	28	1095	0
0.739	1	1	74	10	2	28	1095	0
0.74	1	2	75	1	1	28	1095	0
0.74	1	1	75	1	2	28	1095	0
0.741	1	2	75	2	1	28	1095	0
0.741	1	1	75	2	2	28	1095	0
0.75	1	2	76	1	1	28	1095	0
0.75	1	1	76	1	2	28	1095	0
0.751	1	2	76	2	1	28	1095	0
0.751	1	1	76	2	2	28	1095	0
0.752	1	2	76	3	1	28	1095	0
0.752	1	1	76	3	2	28	1095	0
0.753	1	2	76	4	1	28	1095	0
0.753	1	1	76	4	2	28	1095	0
0.754	1	2	76	5	1	28	1095	0
0.754	1	1	76	5	2	28	1095	0
0.755	1	2	76	6	1	28	1095	0
0.755	1	1	76	6	2	28	1095	0
0.756	1	2	76	7	1	28	1095	0
0.756	1	1	76	7	2	28	1095	0
0.757	1	2	76	8	1	28	1095	0
0.757	1	1	76	8	2	28	1095	0
0.758	1	2	76	9	1	28	1095	0
0.758	1	1	76	9	2	28	1095	0
0.759	1	2	76	10	1	28	1095	0
0.759	1	1	76	10	2	28	1095	0
0.76	1	2	77	1	1	28	1095	0
0.76	1	1	77	1	2	28	1095	0
0.761	1	2	77	2	1	28	1095	0
0.761	1	1	77	2	2	28	1095	0
0.762	1	2	77	3	1	28	1095	0
0.762	1	1	77	3	2	28	1095	0
0.763	1	2	77	4	1	28	1095	0
0.763	1	1	77	4	2	28	1095	0
0.764	1	2	77	5	1	28	1095	0
0.764	1	1	77	5	2	28	1095	0
0.765	1	2	77	6	1	28	1095	0
0.765	1	1	77	6	2	28	1095	0
0.766	1	2	77	7	1	28	1095	0
0.766	1	1	77	7	2	28	1095	0
0.767	1	2	77	8	1	28	1095	0
0.767	1	1	77	8	2	28	1095	0
0.768	1	2	77	9	1	28	1095	0
0.768	1	1	77	9	2	28	1095	0
0.769	1	2	77	10	1	28	1095	0
0.769	1	1	77	10	2	28	1095	0
0.77	1	2	78	1	1	28	1095	0
0.77	1	1	78	1	2	28	1095	0
0.771	1	2	78	2	1	28	1095	0
0.771	1	1	78	2	2	28	1095	0
0.772	1	2	78	3	1	28	1095	0
0.772	1	1	78	3	2	28	1095	0
0.773	1	2	78	4	1	28	1095	0
0.773	1	1	78	4	2	28	1095	0
0.774	1	2	78	5	1	28	1095	0
0.774	1	1	78	5	2	28	1095	0
0.775	1	2	78	6	1	28	1095	0
0.775	1	1	78	6	2	28	1095	0
0.776	1	2	78	7	1	28	1095	0
0.776	1	1	78	7	2	28	1095	0
0.777	1	2	78	8	1	28	1095	0
0.777	1	1	78	8	2	28	1095	0
0.778	1	2	78	9	1	28	1095	0
0.778	1	1	78	9	2	28	1095	0
0.779	1	2	78	10	1	28	1095	0
0.779	1	1	78	10	2	28	1095	0
0.78	1	2	79	1	1	28	1095	0
0.78	1	1	79	1	2	28	1095	0
0.781	1	2	79	2	1	28	1095	0
0.781	1	1	79	2	2	28	1095	0
0.782	1	2	79	3	1	28	1095	0
0.782	1	1	79	3	2	28	1095	0
0.783	1	2	79	4	1	28	1095	0
0.783	1	1	79	4	2	28	1095	0
0.784	1	2	79	5	1	28	1095	0
0.784	1	1	79	5	2	28	1095	0
0.785	1	2	79	6	1	28	1095	0
0.785	1	1	79	6	2	28	1095	0
0.786	1	2	79	7	1	28	1095	0
0.786	1	1	79	7	2	28	1095	0
0.787	1	2	79	8	1	28	1095	0
0.787	1	1	79	8	2	28	1095	0
0.788	1	2	79	9	1	28	1095	0
0.788	1	1	79	9	2	28	1095	0
0.789	1	2	79	10	1	28	1095	0
0.789	1	1	79	10	2	28	1095	0
0.79	1	2	80	1	1	28	1095	0
0.79	1	1	80	1	2	28	1095	0
0.791	1	2	80	2	1	28	1095	0
0.791	1	1	80	2	2	28	1095	0
0.792	1	2	80	3	1	28	1095	0
0.792	1	1	80	3	2	28	1095	0
0.793	1	2	80	4	1	28	1095	0
0.793	1	1	80	4	2	28	1095	0
0.794	1	2	80	5	1	28	1095	0
0.794	1	1	80	5	2	28	1095	0
0.795	1	2	80	6	1	28	1095	0
0.795	1	1	80	6	2	28	1095	0
0.796	1	2	80	7	1	28	1095	0
